Model year,Make,Model,Fuel Type,Incentive for Purchase or 48 month Lease,Incentive for 12 month Lease,Incentive for 24 month Lease,Incentive for 36 month Lease,Eligibility date
2024,Alfa Romeo,Tonale,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-01
2023,Audi,Q4 50 e-tron Quattro,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-05
2022,Audi,Q4 e-tron Quattro,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2018,Audi,A3 Sportback e-tron,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2023,BMW,330e,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-05
2023,BMW,i4,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-08
2022,BMW,330e,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-02
2022,BMW,X3,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2022,BMW,i4,BEV,"$5,000","$1,250","$2,500","$3,750",2022-05-03
2021,BMW,330e,PHEV,"$2,500",$625,"$1,250","$1,875",2020-04-21
2021,BMW,X3,PHEV,"$2,500",$625,"$1,250","$1,875",2022-07-25
2021,BMW,i3,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2021,BMW,i3,BEV,"$5,000","$1,250","$2,500","$3,750",2020-12-21
2020,BMW,i3,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,BMW,i3,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2018/2019,BMW,i3,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2018/2019,BMW,i3,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-29
2023,Chevrolet,Bolt EUV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-15
2023,Chevrolet,Bolt EV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-15
2022,Chevrolet,Bolt,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-18
2022,Chevrolet,Bolt EUV,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-18
2021,Chevrolet,Bolt,BEV,"$5,000","$1,250","$2,500","$3,750",2020-11-10
2020,Chevrolet,Bolt,BEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2018/2019,Chevrolet,Bolt,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018/2019,Chevrolet,Volt,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2023,Chrysler,Pacifica Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-01-09
2022,Chrysler,Pacifica Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2021-11-25
2021,Chrysler,Pacifica Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-11-09
2020,Chrysler,Pacifica Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2017/2018/2019,Chrysler,Pacifica Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Dodge,Hornet,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-02
2023,Ford,Escape,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-10-15
2023,Ford,Mach-E,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-05
2023,Ford,Mach-E,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-30
2023,Ford,Mach-E,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,*Escape PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Escape PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-11-25
2022,Ford,Mach-E,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,Mach-E,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,*Escape PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,Escape PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-02-08
2020,Ford,*Escape PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2020,Ford,Escape PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2020-02-27
2020,Ford,Fusion Energi,PHEV,"$2,500",$625,"$1,250","$1,875",2019-08-13
2018/2019,Ford,Fusion Energi,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Ford,Focus,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2021,Honda,Clarity Plug-in Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-09
2019,Honda,Clarity Plug-in Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018/2020,Honda,Clarity Plug-in Hybrid,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-12-03
2023,Hyundai,IONIQ 5,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-31
2023,Hyundai,IONIQ 6,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-03
2023,Hyundai,Kona Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-22
2023,Hyundai,Santa Fe PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-03-05
2023,Hyundai,Tucson PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-08-30
2022,Hyundai,*Santa Fe PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Hyundai,*Tucson PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Hyundai,IONIQ 5,BEV,"$5,000","$1,250","$2,500","$3,750",2021-11-16
2022,Hyundai,Ioniq plug-In hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-16
2022,Hyundai,Kona Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-13
2022,Hyundai,Santa Fe PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-12
2022,Hyundai,Tucson PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-20
2021,Hyundai,Ioniq electric,BEV,"$5,000","$1,250","$2,500","$3,750",2021-01-27
2021,Hyundai,Ioniq plug-In hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2021-01-27
2021,Hyundai,Kona Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2020,Hyundai,Ioniq electric,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-16
2020,Hyundai,Ioniq plug-In hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-08
2020,Hyundai,Kona Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-15
2019,Hyundai,Ioniq electric,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Hyundai,Ioniq electric Plus,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2019,Hyundai,Kona Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018/2019,Hyundai,Sonata PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Hyundai,Ioniq electric Plus,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-17
2017/2018,Hyundai,Ioniq electric,BEV,"$5,000","$1,250","$2,500","$3,750",2019-06-17
2017,Hyundai,Sonata PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-17
2023,Jeep,Wrangler 4xe,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-22
2022,Jeep,Wrangler 4xe,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Jeep,Wrangler 4xe,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2023,Kia,EV6,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-13
2023,Kia,Niro EV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Niro PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-15
2023,Kia,Sorento PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-21
2023,Kia,Soul EV,BEV,"$5,000","$1,250","$2,500","$3,750",2022-09-13
2023,Kia,Sportage,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-06
2022,Kia,*Sorento PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Kia,EV6,BEV,"$5,000","$1,250","$2,500","$3,750",2022-02-01
2022,Kia,Niro EV,BEV,"$5,000","$1,250","$2,500","$3,750",2021-08-17
2022,Kia,Niro PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-08-16
2022,Kia,Sorento PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-09-27
2022,Kia,Soul EV,BEV,"$5,000","$1,250","$2,500","$3,750",2021-07-26
2021,Kia,Niro EV,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-12
2021,Kia,Niro PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-12
2021,Kia,Soul EV,BEV,"$5,000","$1,250","$2,500","$3,750",2020-07-03
2020,Kia,Niro EV,BEV,"$5,000","$1,250","$2,500","$3,750",2020-02-03
2020,Kia,Niro PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-15
2019,Kia,Niro EV,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Kia,Niro PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017/2018/2019/2020,Kia,Optima PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017/2018/2019/2020,Kia,Soul EV,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Lexus,NX 450h+,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-03-27
2023,Lexus,NX 450h+,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-12
2022,Lexus,NX 450h+,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2023,Lincoln,Corsair,PHEV,"$2,500",$625,"$1,250","$1,875",2022-12-13
2022,Lincoln,Corsair,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2021,Lincoln,Corsair,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-25
2024,MINI,Cooper SE,BEV,"$5,000","$1,250","$2,500","$3,750",2023-03-31
2023,MINI,3 Door Hatch,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-07
2023,MINI,Countryman All4,PHEV,"$2,500",$625,"$1,250","$1,875",2022-04-07
2022,MINI,3 Door,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-04
2022,MINI,Countryman,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-16
2021,MINI,Countryman,PHEV,"$2,500",$625,"$1,250","$1,875",2020-09-18
2020/2021,MINI,Cooper SE 3 Door,BEV,"$5,000","$1,250","$2,500","$3,750",2020-02-13
2018/2019/2020,MINI,Countryman,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2024,Mazda,CX-90,PHEV,"$2,500",$625,"$1,250","$1,875",2023-04-19
2023,Mazda,MX-30,BEV,"$5,000","$1,250","$2,500","$3,750",2023-02-09
2022,Mazda,MX-30,BEV,"$5,000","$1,250","$2,500","$3,750",2021-09-16
2023,Mitsubishi,Outlander PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-10-21
2022,Mitsubishi,Outlander PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-07-06
2021,Mitsubishi,Outlander PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2021-03-15
2020,Mitsubishi,Outlander PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-08-26
2018/2019,Mitsubishi,Outlander PHEV,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2017,Mitsubishi,i-MiEV,BEV,"$5,000","$1,250","$2,500","$3,750",2019-08-26
2023,Nissan,Ariya,BEV,"$5,000","$1,250","$2,500","$3,750",2022-11-01
2023,Nissan,Ariya,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-24
2023,Nissan,Leaf,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-13
2022,Nissan,Leaf,BEV,"$5,000","$1,250","$2,500","$3,750",2021-08-23
2021,Nissan,Leaf,BEV,"$5,000","$1,250","$2,500","$3,750",2020-11-20
2020,Nissan,Leaf,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2018/2019,Nissan,Leaf,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Polestar,2,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-29
2023,Polestar,2,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Polestar,2,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2023,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-12
2023,Subaru,Solterra,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2022,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2022-01-17
2021,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2020-11-10
2020,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-08
2023,Tesla,Model 3,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-11
2023,Tesla,Model 3,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-13
2023,Tesla,Model Y,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-21
2023,Tesla,Model Y,BEV,"$5,000","$1,250","$2,500","$3,750",2023-06-01
2023,Toyota,Mirai,FCEV,"$5,000","$1,250","$2,500","$3,750",2023-02-02
2023,Toyota,Prius Prime,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-04-13
2023,Toyota,RAV4 Prime,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-05
2023,Toyota,bZ4X,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2022,Toyota,Mirai,FCEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Toyota,Prius Prime,PHEV,"$2,500",$625,"$1,250","$1,875",2021-06-22
2022,Toyota,RAV4 Prime,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-01-21
2021,Toyota,Prius Prime,PHEV,"$2,500",$625,"$1,250","$1,875",2020-07-20
2021,Toyota,RAV4 Prime,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-08-12
2020,Toyota,Prius Prime,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-06
2018/2019,Toyota,Prius Prime,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2023,VinFast,VF8,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-23
2023,Volkswagen,ID.4,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-03
2022,Volkswagen,ID.4,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Volkswagen,ID.4,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-30
2020,Volkswagen,e-Golf,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-17
2019,Volkswagen,e-Golf,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017/2018,Volkswagen,e-Golf,BEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2024,Volvo,C40 Recharge,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2024,Volvo,S60,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-12
2024,Volvo,XC40 Recharge,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2023,Volvo,C40,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-16
2023,Volvo,V60,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-13
2023,Volvo,XC40,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-16
2022,Volvo,V60 Recharge,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Volvo,XC40 Recharge,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2018/2019,smart,EQ fortwo cabriolet,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018/2019,smart,EQ fortwo coupe,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017/2018,smart,fortwo electric drive cabriolet,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017/2018,smart,fortwo electric drive coupe,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
